"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 21 23:19:54 IST 2023","Thu Dec 21 23:20:15 IST 2023","20875","Web Suite","Web Test","sanity.OrangeHrmWeb","sanity.OrangeHrmWeb","test05_deleteEmployeeById","Test05 - Delete Employee","Delete employee by his employee id "
"passed","Sat Dec 23 21:45:23 IST 2023","Sat Dec 23 21:45:43 IST 2023","19800","Mobile Suite","Mobile Test","sanity.UnitConverterMobile","sanity.UnitConverterMobile","test03_switchToMisc","Test03 -Change misc favorites with swipe (appium method)","Using swip methos of appium  change misc favorites"
"passed","Sat Dec 23 21:46:41 IST 2023","Sat Dec 23 21:46:59 IST 2023","17861","Mobile Suite","Mobile Test","sanity.UnitConverterMobile","sanity.UnitConverterMobile","test02_convertCurrency","Test02 - Convert currency","Entering a value of a currency and converting the value to several values of other currencies"
"broken","Sat Dec 23 21:28:29 IST 2023","Sat Dec 23 21:28:29 IST 2023","8","Mobile Suite","Mobile Test","sanity.UnitConverterMobile","sanity.UnitConverterMobile","startSession","startSession",""
"passed","Thu Dec 21 23:11:36 IST 2023","Thu Dec 21 23:12:00 IST 2023","23230","Web Suite","Web Test","sanity.OrangeHrmWeb","sanity.OrangeHrmWeb","test04_searchEmployeeById","Test04 - Search employee  by employeeId","Search emplyee  in employees list by his employeeId get data from csv file"
"failed","Thu Dec 21 23:03:12 IST 2023","Thu Dec 21 23:03:25 IST 2023","13396","Web Suite","Web Test","sanity.OrangeHrmWeb","sanity.OrangeHrmWeb","test04_searchEmployeeById","Test04 - Search employee  by employeeId","Search emplyee  in employees list by his employeeId get data from csv file"
"passed","Thu Dec 21 23:11:32 IST 2023","Thu Dec 21 23:11:36 IST 2023","3350","Web Suite","Web Test","sanity.OrangeHrmWeb","sanity.OrangeHrmWeb","test04_searchEmployeeById","Test04 - Search employee  by employeeId","Search emplyee  in employees list by his employeeId get data from csv file"
"broken","Sat Dec 23 21:52:14 IST 2023","Sat Dec 23 21:52:45 IST 2023","30620","Mobile Suite","Mobile Test","sanity.UnitConverterMobile","sanity.UnitConverterMobile","test01_convertLenth","Test01 - Convert length","Fill the fields with length of {length} and it converts the length to some scales"
"passed","Thu Dec 21 21:57:31 IST 2023","Thu Dec 21 21:57:37 IST 2023","5515","Web Suite","Web Test","sanity.OrangeHrmWeb","sanity.OrangeHrmWeb","test06_VerifyLogoImage","Test06 - Verify logo image","Verify OrangeHRM logo image by using sikuli"
"passed","Thu Dec 21 22:28:26 IST 2023","Thu Dec 21 22:28:27 IST 2023","1525","Web Suite","Web Test","sanity.OrangeHrmWeb","sanity.OrangeHrmWeb","test01_verifyLogin","Test01 - Login with db credentials","Login test login and verify the main header"
"passed","Thu Dec 21 23:11:27 IST 2023","Thu Dec 21 23:11:32 IST 2023","4574","Web Suite","Web Test","sanity.OrangeHrmWeb","sanity.OrangeHrmWeb","test04_searchEmployeeById","Test04 - Search employee  by employeeId","Search emplyee  in employees list by his employeeId get data from csv file"
"failed","Thu Dec 21 23:02:54 IST 2023","Thu Dec 21 23:03:11 IST 2023","16313","Web Suite","Web Test","sanity.OrangeHrmWeb","sanity.OrangeHrmWeb","test04_searchEmployeeById","Test04 - Search employee  by employeeId","Search emplyee  in employees list by his employeeId get data from csv file"
"passed","Thu Dec 21 21:55:53 IST 2023","Thu Dec 21 21:56:13 IST 2023","20161","Web Suite","Web Test","sanity.OrangeHrmWeb","sanity.OrangeHrmWeb","test02_verifyDashboardElements","Test02 - Verify dashboard element","Verify in dashboard page is all dashboard elements is display"
"passed","Thu Dec 21 22:53:19 IST 2023","Thu Dec 21 22:53:32 IST 2023","13305","Web Suite","Web Test","sanity.OrangeHrmWeb","sanity.OrangeHrmWeb","test03_addEmployee","Test03 - Adding new employee","Adding new employee and verify employee has be added"
